Categoria;Data ordine;Segmento;Obiettivo di vendita (Obiettivo di vendita)
Forniture per ufficio;01/01/2019;Piccole aziende;40
Mobili;03/01/2019;Privati;795
Forniture per ufficio;04/01/2019;Privati;123
Forniture per ufficio;04/01/2019;Grandi aziende;38
Forniture per ufficio;05/01/2019;Piccole aziende;317
Mobili;06/01/2019;Privati;298
Mobili;07/01/2019;Grandi aziende;132
Forniture per ufficio;07/01/2019;Privati;5
Forniture per ufficio;07/01/2019;Grandi aziende;689
Mobili;08/01/2019;Privati;1066
Forniture per ufficio;08/01/2019;Privati;122
Forniture per ufficio;10/01/2019;Grandi aziende;206
Mobili;11/01/2019;Privati;1520
Forniture per ufficio;11/01/2019;Privati;279
Mobili;12/01/2019;Grandi aziende;557
Mobili;12/01/2019;Piccole aziende;316
Forniture per ufficio;12/01/2019;Privati;36
Forniture per ufficio;12/01/2019;Grandi aziende;243
Tecnologia;12/01/2019;Grandi aziende;480
Forniture per ufficio;13/01/2019;Privati;279
Forniture per ufficio;14/01/2019;Piccole aziende;211
Tecnologia;14/01/2019;Piccole aziende;925
Mobili;15/01/2019;Piccole aziende;613
Forniture per ufficio;15/01/2019;Grandi aziende;434
Tecnologia;15/01/2019;Grandi aziende;579
Forniture per ufficio;17/01/2019;Grandi aziende;567
Forniture per ufficio;17/01/2019;Piccole aziende;15
Forniture per ufficio;18/01/2019;Privati;22
Forniture per ufficio;18/01/2019;Grandi aziende;96
Forniture per ufficio;19/01/2019;Grandi aziende;47
Forniture per ufficio;19/01/2019;Piccole aziende;195
Forniture per ufficio;20/01/2019;Privati;63
Tecnologia;21/01/2019;Privati;515
Mobili;22/01/2019;Piccole aziende;751
Forniture per ufficio;22/01/2019;Grandi aziende;186
Forniture per ufficio;22/01/2019;Piccole aziende;1507
Tecnologia;22/01/2019;Grandi aziende;61
Mobili;24/01/2019;Privati;125
Forniture per ufficio;24/01/2019;Privati;138
Forniture per ufficio;24/01/2019;Grandi aziende;12
Forniture per ufficio;24/01/2019;Piccole aziende;26
Tecnologia;24/01/2019;Grandi aziende;603
Mobili;25/01/2019;Grandi aziende;21
Forniture per ufficio;25/01/2019;Privati;604
Forniture per ufficio;25/01/2019;Grandi aziende;130
Mobili;26/01/2019;Privati;302
Forniture per ufficio;26/01/2019;Privati;856
Tecnologia;26/01/2019;Privati;87
Tecnologia;26/01/2019;Grandi aziende;502
Forniture per ufficio;28/01/2019;Privati;25
Forniture per ufficio;01/02/2019;Privati;108
Forniture per ufficio;01/02/2019;Grandi aziende;143
Mobili;02/02/2019;Privati;1046
Forniture per ufficio;02/02/2019;Privati;197
Forniture per ufficio;02/02/2019;Grandi aziende;326
Tecnologia;02/02/2019;Privati;828
Tecnologia;02/02/2019;Grandi aziende;1800
Forniture per ufficio;03/02/2019;Piccole aziende;78
Forniture per ufficio;04/02/2019;Privati;147
Forniture per ufficio;04/02/2019;Piccole aziende;51
Forniture per ufficio;07/02/2019;Privati;175
Forniture per ufficio;07/02/2019;Grandi aziende;27
Tecnologia;07/02/2019;Privati;224
Forniture per ufficio;08/02/2019;Privati;119
Forniture per ufficio;08/02/2019;Grandi aziende;166
Mobili;09/02/2019;Grandi aziende;514
Mobili;09/02/2019;Piccole aziende;397
Forniture per ufficio;09/02/2019;Privati;222
Forniture per ufficio;09/02/2019;Grandi aziende;156
Forniture per ufficio;09/02/2019;Piccole aziende;311
Mobili;10/02/2019;Grandi aziende;1458
Forniture per ufficio;10/02/2019;Privati;52
Forniture per ufficio;10/02/2019;Grandi aziende;33
Forniture per ufficio;10/02/2019;Piccole aziende;379
Tecnologia;10/02/2019;Privati;214
Forniture per ufficio;14/02/2019;Privati;37
Mobili;15/02/2019;Privati;1010
Mobili;15/02/2019;Grandi aziende;906
Mobili;16/02/2019;Grandi aziende;4181
Forniture per ufficio;16/02/2019;Grandi aziende;509
Tecnologia;16/02/2019;Grandi aziende;420
Forniture per ufficio;18/02/2019;Privati;147
Forniture per ufficio;18/02/2019;Grandi aziende;37
Tecnologia;18/02/2019;Privati;134
Mobili;21/02/2019;Privati;1033
Forniture per ufficio;21/02/2019;Privati;236
Forniture per ufficio;21/02/2019;Grandi aziende;17
Tecnologia;21/02/2019;Privati;28
Mobili;22/02/2019;Privati;113
Forniture per ufficio;22/02/2019;Privati;132
Tecnologia;22/02/2019;Privati;596
Mobili;23/02/2019;Grandi aziende;41
Mobili;24/02/2019;Grandi aziende;1910
Forniture per ufficio;24/02/2019;Grandi aziende;306
Tecnologia;24/02/2019;Grandi aziende;483
Mobili;26/02/2019;Privati;496
Tecnologia;26/02/2019;Privati;118
Mobili;02/03/2019;Grandi aziende;1797
Forniture per ufficio;02/03/2019;Privati;569
Forniture per ufficio;02/03/2019;Grandi aziende;225
Forniture per ufficio;02/03/2019;Piccole aziende;234
Tecnologia;02/03/2019;Grandi aziende;142
Tecnologia;02/03/2019;Piccole aziende;42
Forniture per ufficio;04/03/2019;Privati;56
Forniture per ufficio;04/03/2019;Piccole aziende;88
Forniture per ufficio;06/03/2019;Piccole aziende;98
Forniture per ufficio;08/03/2019;Privati;100
Forniture per ufficio;09/03/2019;Privati;122
Forniture per ufficio;10/03/2019;Privati;265
Tecnologia;10/03/2019;Privati;128
Mobili;11/03/2019;Privati;66
Forniture per ufficio;11/03/2019;Grandi aziende;28
Tecnologia;11/03/2019;Piccole aziende;484
Forniture per ufficio;12/03/2019;Privati;68
Forniture per ufficio;12/03/2019;Grandi aziende;201
Forniture per ufficio;13/03/2019;Privati;206
Forniture per ufficio;13/03/2019;Grandi aziende;484
Forniture per ufficio;15/03/2019;Privati;3430
Forniture per ufficio;15/03/2019;Grandi aziende;15
Tecnologia;15/03/2019;Grandi aziende;204
Mobili;16/03/2019;Privati;236
Forniture per ufficio;16/03/2019;Privati;112
Forniture per ufficio;17/03/2019;Grandi aziende;71
Forniture per ufficio;18/03/2019;Grandi aziende;107
Forniture per ufficio;19/03/2019;Privati;173
Forniture per ufficio;19/03/2019;Piccole aziende;60
Tecnologia;20/03/2019;Privati;324
Mobili;22/03/2019;Privati;407
Forniture per ufficio;22/03/2019;Privati;185
Forniture per ufficio;22/03/2019;Grandi aziende;24
Tecnologia;22/03/2019;Privati;69
Tecnologia;22/03/2019;Grandi aziende;688
Forniture per ufficio;23/03/2019;Privati;139
Mobili;24/03/2019;Piccole aziende;824
Forniture per ufficio;24/03/2019;Piccole aziende;191
Forniture per ufficio;25/03/2019;Piccole aziende;827
Tecnologia;25/03/2019;Piccole aziende;221
Forniture per ufficio;26/03/2019;Privati;99
Forniture per ufficio;26/03/2019;Piccole aziende;172
Tecnologia;26/03/2019;Privati;87
Forniture per ufficio;27/03/2019;Privati;702
Forniture per ufficio;28/03/2019;Privati;32
Forniture per ufficio;29/03/2019;Privati;54
Forniture per ufficio;29/03/2019;Grandi aziende;103
Mobili;30/03/2019;Privati;179
Forniture per ufficio;30/03/2019;Privati;35
